Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.73     27.06     0.33 45600975     0.00     0.00  std::_List_node<AnnotatedData>* std::list<AnnotatedData, std::allocator<AnnotatedData> >::_M_create_node<AnnotatedData const&>(AnnotatedData const&)
  0.71     27.38     0.32 151603930     0.00     0.00  std::less<arti::MatchOutcome>::operator()(arti::MatchOutcome const&, arti::MatchOutcome const&) const
  0.71     27.70     0.32 25266318     0.00     0.00  std::_List_const_iterator<AnnotatedData>::operator++()
  0.71     28.02     0.32     1281     0.00     0.00  arti::EntropyMeasure<arti::MatchOutcome> arti::Classifier<std::pair<std::string, arti::Piece>, AnnotatedData, arti::MatchOutcome, int>::entropy_of<std::_List_iterator<AnnotatedData> >(std::_List_iterator<AnnotatedData>, std::_List_iterator<AnnotatedData>)
  0.66     28.32     0.30 565587204     0.00     0.00  arti::Square const* std::__addressof<arti::Square const>(arti::Square const&)
  0.64     28.61     0.29 226181112     0.00     0.00  std::_Select1st<std::pair<std::string const, arti::Region> >::operator()(std::pair<std::string const, arti::Region> const&) const
  0.64     28.90     0.29 182403900     0.00     0.00  AnnotatedData const& std::forward<AnnotatedData const&>(std::remove_reference<AnnotatedData const&>::type&)
  0.64     29.19     0.29 45600975     0.00     0.00  void std::list<AnnotatedData, std::allocator<AnnotatedData> >::_M_insert<AnnotatedData const&>(std::_List_iterator<AnnotatedData>, AnnotatedData const&)
  0.62     29.47     0.28 226181046     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, arti::Region>, std::_Select1st<std::pair<std::string const, arti::Region> >, std::less<std::string>, std::allocator<std::pair<std::string const, arti::Region> > >::_S_value(std::_Rb_tree_node<std::pair<std::string const, arti::Region> > const*)
  0.62     29.75     0.28 91208493     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<int const, std::list<AnnotatedData, std::allocator<AnnotatedData> > > >*)
  0.60     30.02     0.27 101077369     0.00     0.00  std::_Rb_tree_iterator<std::pair<arti::MatchOutcome const, int> >::operator*() const
  0.60     30.29     0.27 20131986     0.00     0.00  std::pair<std::_Rb_tree_iterator<arti::Square>, bool> std::_Rb_tree<arti::Square, arti::Square, std::_Identity<arti::Square>, std::less<arti::Square>, std::allocator<arti::Square> >::_M_insert_unique<arti::Square>(arti::Square&&)
  0.58     30.55     0.26 101099954     0.00     0.00  std::_Rb_tree_iterator<std::pair<arti::MatchOutcome const, int> >::_Rb_tree_iterator(std::_Rb_tree_node<std::pair<arti::MatchOutcome const, int> >*)
  0.58     30.81     0.26 91202077     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<std::string const, arti::Region> >::_Rb_tree_const_iterator(std::_Rb_tree_node<std::pair<std::string const, arti::Region> > const*)
  0.58     31.07     0.26 45600975     0.00     0.00  std::_List_node<AnnotatedData>::_List_node<AnnotatedData const&>(AnnotatedData const&)
