Strategy Measurement Size
B 77.8 1000
B 74.4 1000
B 75.7 1000
B 75.9 1000
B 75.1 1000
B 75.8 1000
B 77 1000
B 75.1 1000
B 73.7 1000
B 75.3 1000
B 76.3 1000
B 76.9 1000
B 76.4 1000
B 78.5 1000
B 77.3 1000
B 76.4 1000
B 78.1 1000
B 76.1 1000
B 73.1 1000
B 74.6 1000
B 78.8 1000
B 75.3 1000
B 77.5 1000
B 74.9 1000
B 77.3 1000
B 76.7 1000
B 74.3 1000
B 76.2 1000
B 75.8 1000
B 76.1 1000
B 77.9 1000
B 77.4 1000
B 75.3 1000
B 75.4 1000
B 76.5 1000
B 75.5 1000
B 77.1 1000
