Function Depth Positions Value
WinLose 1 8 0
IBEF 1 8 3
ADATE 1 8 2
IBEFB 1 8 3
ADATEB 1 8 2
WinLose-O 1 8 0
IBEF-O 1 8 3
ADATE-O 1 8 2
IBEFB-O 1 8 3
ADATEB-O 1 8 2
WinLose 2 15 0
IBEF 2 21 3
ADATE 2 21 2
IBEFB 2 15 0
ADATEB 2 15 0
WinLose-O 2 15 0
IBEF-O 2 21 3
ADATE-O 2 21 2
IBEFB-O 2 15 0
ADATEB-O 2 15 0
WinLose 3 64 0
IBEF 3 136 8
ADATE 3 76 4
IBEFB 3 147 4
ADATEB 3 76 2
WinLose-O 3 64 0
IBEF-O 3 112 8
ADATE-O 3 76 4
IBEFB-O 3 96 4
ADATEB-O 3 76 2
WinLose 4 113 0
IBEF 4 380 8
ADATE 4 173 4
IBEFB 4 191 0
ADATEB 4 113 0
WinLose-O 4 113 0
IBEF-O 4 332 8
ADATE-O 4 173 4
IBEFB-O 4 134 0
ADATEB-O 4 113 0
WinLose 5 456 0
IBEF 5 2901 15
ADATE 5 1137 10
IBEFB 5 2361 5
ADATEB 5 1137 6
WinLose-O 5 456 0
IBEF-O 5 1177 15
ADATE-O 5 888 10
IBEFB-O 5 1143 5
ADATEB-O 5 911 6
WinLose 6 799 0
IBEF 6 7638 15
ADATE 6 2579 10
IBEFB 6 2680 0
ADATEB 6 810 0
WinLose-O 6 799 0
IBEF-O 6 3500 15
ADATE-O 6 2083 10
IBEFB-O 6 862 0
ADATEB-O 6 820 0
WinLose 7 6361 0
IBEF 7 50593 25
ADATE 7 22684 20
IBEFB 7 41325 5
ADATEB 7 15181 6
WinLose-O 7 5133 0
IBEF-O 7 15791 25
ADATE-O 7 13694 20
IBEFB-O 7 16359 5
ADATEB-O 7 10724 6
WinLose 8 10913 0
IBEF 8 118194 25
ADATE 8 69763 20
IBEFB 8 68763 0
ADATEB 8 15073 0
WinLose-O 8 8457 0
IBEF-O 8 41437 25
ADATE-O 8 39863 20
IBEFB-O 8 18289 0
ADATEB-O 8 9280 0
WinLose 9 85055 0
IBEF 9 811303 28
ADATE 9 398560 22
IBEFB 9 610378 5
ADATEB 9 643417 5
WinLose-O 9 29089 0
IBEF-O 9 151720 28
ADATE-O 9 134970 22
IBEFB-O 9 165153 5
ADATEB-O 9 307194 5
