Cutoff Accuracy Size
160 73.8927 1113
192 73.7684 955
224 73.3953 782
256 72.7854 684
288 72.6196 603
320 72.5071 523
32 76.6047 4685
64 75.0829 2530
96 74.7276 1704
128 74.5145 1377
160 74.1888 1098
192 73.3835 943
224 72.5663 785
256 73.271 660
288 72.6492 591
320 72.2466 517
32 76.5632 4694
64 75.6928 2550
96 74.5441 1743
128 74.2598 1359
160 74.2954 1096
192 73.5789 904
224 73.4072 785
256 73.3243 692
288 72.6729 595
320 72.7262 533
32 76.054 4678
64 75.1954 2571
96 74.5618 1771
128 74.7217 1390
160 73.8749 1106
192 73.4841 928
224 72.8328 767
256 73.9638 680
288 72.513 582
320 72.8446 546
32 76.4567 4753
64 75.4974 2578
96 74.6566 1792
128 75.0178 1382
160 73.7506 1088
192 73.5433 963
224 73.4072 775
256 73.046 674
288 72.3946 585
320 72.3058 519
32 76.0481 4832
64 75.5507 2527
96 75.2072 1774
128 74.5441 1380
160 73.6914 1116
192 73.6855 929
224 73.3361 800
256 73.265 712
288 73.1407 566
320 72.6847 533
32 75.9178 4756
64 75.5092 2542
96 74.8401 1773
128 74.7454 1322
160 73.5433 1113
192 73.8453 923
224 72.9512 772
256 72.9749 688
288 73.1585 592
320 72.6374 520
32 75.8704 4638
64 75.2546 2611
96 74.7691 1769
128 73.8572 1328
160 73.8157 1112
192 73.6026 937
224 73.3124 787
256 72.7676 686
288 72.7736 583
320 72.2762 532
