Cutoff Accuracy Size
32 76.9185 4728
64 75.1658 2597
96 74.9526 1765
128 74.171 1384
160 73.5611 1115
192 74.0289 939
224 73.265 795
256 72.892 677
288 73.3124 589
320 72.6196 523
32 76.5928 4697
64 75.5033 2588
96 74.8342 1717
128 74.0881 1368
160 73.6618 1083
192 73.9519 944
224 73.3361 803
256 73.0815 685
288 72.4301 585
320 72.513 548
32 76.0481 4695
64 75.5388 2622
96 74.9467 1795
128 74.6684 1362
160 74.1296 1089
192 73.6795 941
224 73.0933 793
256 72.513 688
288 72.1755 598
320 72.6433 531
32 76.0955 4692
64 75.3138 2537
96 74.8816 1773
128 74.5085 1337
160 73.8513 1096
192 74.0348 939
224 72.9157 789
256 73.1881 684
288 73.046 599
320 72.1104 513
32 75.7816 4765
64 75.4263 2572
96 74.6329 1863
128 74.3842 1360
160 74.4552 1068
192 73.3539 947
224 73.5966 799
256 72.5249 673
288 73.2295 584
320 72.1341 540
32 76.5336 4764
64 75.2783 2578
96 74.6625 1764
128 74.6092 1340
160 74.1414 1133
192 73.6677 938
224 73.5552 763
256 72.9334 671
288 72.744 584
320 72.7676 545
32 76.1843 4806
64 75.6277 2551
96 74.7987 1777
128 74.1592 1383
160 73.6559 1152
192 73.721 965
224 72.9098 779
256 73.1348 696
288 72.6729 600
320 72.7617 545
32 75.9119 4741
64 75.4619 2524
96 75.0474 1775
128 73.9697 1390
160 74.1236 1095
192 73.5137 944
224 73.0933 790
256 73.5078 668
288 72.3295 572
320 72.2406 507
32 76.0422 4780
64 75.906 2525
96 74.8579 1833
128 74.2184 1335
160 74.1118 1067
192 73.798 921
224 73.1229 789
256 73.6973 673
288 73.2414 618
320 72.5604 519
32 76.3205 4704
64 75.0947 2604
96 74.9289 1754
128 74.2006 1366
160 74.1888 1124
192 73.4308 928
224 72.7676 782
256 73.5078 716
288 72.8801 585
320 72.9038 542
32 76.4389 4769
64 74.8401 2518
96 75.0178 1702
128 74.6566 1356
160 73.7743 1115
192 73.4782 934
224 73.1762 778
256 73.3539 682
288 73.1881 592
320 72.9157 539
32 75.7579 4746
64 75.4796 2560
96 74.9408 1750
128 74.3131 1388
160 74.2006 1098
192 73.8986 913
224 72.4834 764
256 72.7025 677
288 72.6847 600
320 72.211 523
32 75.5211 4695
64 75.4086 2555
96 75.0355 1782
128 74.0407 1333
160 73.9815 1093
192 73.7743 945
224 73.3124 799
256 73.0163 671
288 72.4124 580
320 72.3117 530
32 76.7054 4694
64 74.846 2565
96 75.1184 1724
128 74.621 1353
160 73.9164 1100
192 73.5552 924
224 73.04 782
256 72.7736 664
288 72.7795 590
320 72.4953 510
32 75.9889 4687
64 75.4086 2538
96 74.5796 1763
128 74.4789 1355
160 73.9282 1086
192 73.7328 914
224 73.1111 792
256 73.0696 666
288 72.667 584
320 72.3591 537
32 76.6461 4794
64 75.45 2595
96 74.5145 1790
128 74.1532 1345
160 73.9401 1090
192 73.4131 955
224 72.9808 771
256 72.9867 684
288 73.117 599
320 72.5959 550
32 75.9889 4739
64 75.7402 2577
96 74.5263 1748
128 74.2954 1335
160 73.6795 1106
192 74.023 932
224 73.5078 761
256 72.9453 686
288 73.8394 590
320 72.2229 528
32 76.5277 4734
64 75.3553 2527
96 75.3316 1753
128 74.2657 1385
160 73.721 1077
192 73.798 925
224 73.2414 809
256 73.1348 700
288 73.0045 580
320 72.8801 536
32 75.9 4672
64 75.5862 2521
96 74.7987 1776
128 74.319 1333
160 73.9105 1108
192 74.0526 943
224 73.2058 784
256 73.5137 681
288 72.7084 592
320 73.0104 520
32 76.1132 4716
64 75.5507 2576
96 74.5973 1789
128 74.2243 1355
160 74.0111 1115
192 73.4841 937
224 73.046 760
256 72.8683 691
288 72.6374 573
320 72.5012 511
32 76.2849 4724
64 75.8527 2594
96 75.077 1739
128 74.4848 1319
160 74.2539 1079
192 73.1407 925
224 73.1407 789
256 72.9571 709
288 72.9986 577
320 72.5249 539
32 76.806 4748
64 75.9533 2558
96 74.8401 1753
128 74.3783 1327
160 73.9164 1085
192 73.8216 956
224 73.3124 784
256 73.117 682
288 73.0637 589
320 72.3058 531
32 76.3264 4760
64 75.1066 2517
96 75.2428 1796
128 74.4552 1359
